from,to,relationship
cara,tenn,1
leom,schw,1
tadp,radf,1
ousd,fuss,1
jans,tenn,1
sifh,leic,1
arys,tenn,1
melj,leic,1
cara,nike,2
cara,oiko,2
cara,yopr,2
cara,babo,2
leom,spee,2
leom,nike,2
tadp,whoo,2
tadp,dmtc,2
tadp,meth,2
tadp,coln,2
tadp,ener,2
tadp,conr,2
ousd,adid,2
ousd,nike,2
jans,nike,2
jans,head,2
jans,ener,2
sifh,nike,2
arys,wils,2
arys,whoo,2
arys,nike,2
arys,elec,2
melj,nike,2
melj,nord,2
alep,fuss,1
wenr,fuss,1
bres,bask,1
sydm,leic,1
igas,tenn,1
aitb,fuss,1
shej,leic,1
faik,leic,1
shar,leic,1
erlh,fuss,1
noal,leic,1
wenr,adid,2
bres,thrs,2
bres,puma,2
bres,clib,2
bres,pana,2
sydm,gato,2
sydm,newb,2
sydm,bana,2
sydm,oakm,2
igas,oshe,2
igas,on,2
igas,tecn,2
aitb,adid,2
aitb,gato,2
aitb,topp,2
aitb,easp,2
shej,puma,2
shej,wata,2
faik,nike,2
shar,nike,2
shar,whoo,2
shar,powe,2
shar,gato,2
erlh,nike,2
erlh,budw,2
erlh,hype,2
erlh,easp,2
noal,adid,2
noal,traf,2
noal,cels,2
alep,topp,2
alep,nike,2
josc,leic,1
mond,leic,1
robl,fuss,1
freb,skis,1
brik,leic,1
annb,radf,1
maxv,f1,1
caed,schw,1
tomb,foot,1
elat,leic,1
ashb,tenn,1
emmm,schw,1
josc,nike,2
josc,coro,2
mond,puma,2
robl,drwi,2
robl,ksma,2
robl,oshe,2
robl,nike,2
robl,lali,2
freb,tech,2
freb,ea7e,2
freb,powe,2
freb,ross,2
freb,lang,2
freb,leve,2
freb,dain,2
brik,nike,2
annb,spec,2
annb,sram,2
annb,garm,2
annb,tacx,2
annb,clas,2
annb,truek,2
maxv,easp,2
caed,debo,2
caed,nobu,2
tomb,nobu,2
elat,puma,2
ashb,fila,2
emmm,nike,2
emmm,spee,2
usab,leic,1
stec,bask,1
mofa,leic,1
lebj,bask,1
andm,tenn,1
crir,fuss,1
simb,turn,1
allf,leic,1
lauk,radf,1
angk,tenn,1
elat,leic,1
novd,tenn,1
lewh,f1,1
elik,leic,1
kylm,fuss,1
lukm,fuss,1
simh,tenn,1
estl,skis,1
danr,tria,1
miks,skis,1
liom,fuss,1
marm,motg,1
rafn,tenn,1
tigw,golf,1
megr,fuss,1
naoo,tenn,1
shfp,leic,1
simb,turn,1
usab,puma,2
mofa,nike,2
stec,unar,2
lebj,nike,2
andm,unar,2
crir,nike,2
simb,nike,2
simb,gkel,2
allf,nike,2
lauk,adid,2
angk,adid,2
angk,yone,2
elat,nike,2
novd,laco,2
novd,head,2
lewh,puma,2
lewh,tomh,2
kylm,nike,2
lukm,adid,2
simh,nike,2
simh,wils,2
estl,adid,2
danr,asic,2
miks,atom,2
miks,adid,2
elik,nike,2
liom,adid,2
marm,alpi,2
rafn,nike,2
rafn,babl,2
tigw,nike,2
allf,athl,2
megr,nike,2
naoo,nike,2
shfp,nike,2
rogf,tenn,1
chrf,radf,1
serw,tenn,1
gabm,tenn,1
cass,leic,1
serw,fact,2
serw,roco,2
serw,nike,2
serw,ritu,2
gabm,adid,2
gabm,luxt,2
gabm,babo,2
cass,nike,2
miks,mips,2
miks,agI,2
katl,schw,1
rogf,wils,2
rogf,on,2
chrf,pina,2
katl,tyrs,2
